"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,김동연,기타,없음,모름
서울,210,189,35.70%,46.30%,5.30%,4.80%,2.40%,0.90%,0.50%,3.80%,0.40%
"경기,인천",321,314,45.10%,36.90%,2.50%,2.20%,4.30%,0.60%,1.60%,6.20%,0.60%
"대전,세종,충남북",99,107,45.60%,38.50%,2.70%,0.90%,6.70%,1.00%,1.20%,3.40%,0.00%
"광주,전남북",92,98,57.20%,24.40%,0.80%,3.20%,5.00%,0.00%,4.20%,5.20%,0.00%
"대구,경북",95,98,25.30%,56.60%,2.70%,2.10%,6.60%,2.20%,0.00%,2.50%,2.00%
"부산,울산,경남",144,150,22.60%,55.00%,2.60%,9.20%,3.00%,0.70%,3.70%,3.30%,0.00%
"강원,제주",43,44,27.90%,46.30%,3.00%,5.00%,7.10%,0.00%,0.00%,10.70%,0.00%
