"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름
서울,201,189,41.3%,40.5%,6.0%,7.8%,1.4%,0.4%,1.6%,1.1%
"경기,인천",322,314,39.4%,44.1%,1.7%,7.7%,2.9%,1.6%,1.3%,1.3%
"대전,세종,충남북",96,107,31.1%,54.9%,1.7%,6.8%,2.8%,0.0%,2.7%,0.0%
"광주,전남북",96,98,51.6%,28.7%,3.1%,6.3%,5.6%,1.7%,2.0%,1.1%
"대구,경북",93,98,22.0%,59.2%,1.6%,9.7%,2.8%,1.9%,0.9%,1.9%
"부산,울산,경남",147,151,24.0%,46.7%,4.0%,13.3%,4.7%,3.3%,3.0%,1.1%
"강원,제주",46,44,36.4%,39.0%,2.2%,8.0%,2.5%,0.0%,2.1%,9.8%
