"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,190,187,30.0%,37.0%,2.0%,13.0%,1.0%,12.0%,6.0%,
"경기,인천",317,316,37.0%,33.0%,2.0%,11.0%,1.0%,11.0%,5.0%,
"대전,세종,충남북",108,108,32.0%,37.0%,4.0%,3.0%,2.0%,15.0%,6.0%,
"광주,전남북",98,99,47.0%,14.0%,2.0%,14.0%,1.0%,12.0%,10.0%,
"대구,경북",96,97,29.0%,46.0%,0.0%,7.0%,3.0%,9.0%,6.0%,
"부산,울산,경남",149,151,38.0%,32.0%,3.0%,9.0%,1.0%,13.0%,5.0%,
"강원,제주",42,42,24.0%,40.0%,2.0%,14.0%,0.0%,12.0%,7.0%,
