"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,218,189,36.6%,46.1%,5.3%,8.3%,0.6%,0.4%,1.3%,1.5%
"경기,인천",337,316,42.3%,41.7%,1.8%,8.1%,1.0%,0.5%,3.1%,1.6%
"대전,세종,충남북",124,106,35.0%,51.0%,0.7%,8.7%,0.9%,1.8%,0.0%,1.9%
"광주,전남북",95,98,62.6%,26.3%,1.3%,5.4%,2.4%,0.0%,0.9%,1.2%
"대구,경북",68,98,26.9%,61.3%,3.8%,3.3%,3.0%,0.0%,1.7%,0.0%
"부산,울산,경남",123,150,34.5%,47.4%,3.2%,7.2%,1.4%,2.0%,1.6%,2.7%
"강원,제주",36,44,46.2%,39.2%,3.0%,11.6%,0.0%,0.0%,0.0%,0.0%
