"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,,
서울,194,189,37.0%,43.8%,4.0%,10.2%,3.2%,1.2%,0.6%,,
"경기,인천",318,317,41.5%,42.9%,4.0%,9.1%,0.2%,1.7%,0.7%,,
"강원,제주",48,44,41.7%,31.7%,5.5%,12.0%,4.5%,4.5%,0.0%,,
"대전,세종,충남북",106,108,35.5%,48.0%,3.8%,8.2%,0.6%,3.8%,0.0%,,
"부산,울산,경남",150,152,36.6%,49.5%,3.3%,8.1%,0.4%,2.1%,0.0%,,
"대구,경북",100,98,19.8%,67.6%,2.0%,6.5%,2.9%,0.0%,1.2%,,
"광주,전남북",90,98,59.8%,29.9%,3.7%,2.0%,1.6%,2.2%,0.8%,,
