"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름
서울,211,189,37.9%,39.3%,3.1%,16.2%,0.0%,1.9%,0.0%,1.6%
"경기,인천",309,314,38.5%,41.8%,2.6%,10.9%,2.7%,1.0%,1.6%,1.1%
"대전,세종,충남북",102,107,44.2%,40.0%,1.9%,4.9%,3.1%,1.9%,1.9%,2.1%
"광주,전남북",96,98,60.4%,23.2%,1.3%,6.9%,3.6%,1.2%,2.4%,1.0%
"대구,경북",104,98,17.8%,58.8%,2.1%,7.3%,6.3%,0.8%,4.9%,2.0%
"부산,울산,경남",134,150,33.6%,45.9%,1.7%,12.8%,1.4%,2.1%,1.7%,0.8%
"강원,제주",44,44,25.2%,55.1%,5.5%,7.5%,2.4%,0.0%,2.4%,1.9%
