"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,188,190,27.6%,34.5%,3.5%,15.0%,2.5%,5.6%,11.4%
"경기,인천",317,319,34.9%,29.9%,2.6%,13.8%,1.6%,4.7%,12.5%
"대전,세종,충남북",107,107,34.7%,30.5%,3.3%,9.1%,1.6%,2.2%,18.6%
"광주,전남북",102,99,59.3%,5.4%,0.8%,9.5%,0.0%,3.5%,21.6%
"대구,경북",100,99,13.9%,49.0%,5.6%,13.6%,0.0%,4.6%,13.2%
"부산,울산,경남",153,153,22.5%,42.7%,1.7%,9.4%,4.7%,10.6%,8.4%
"강원,제주",45,43,27.7%,42.8%,0.0%,8.5%,2.3%,4.7%,14.0%
