"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",유보,유보2,,
서울,195,195,28%,43.00%,5.00%,15.00%,8.00%,1.00%,,
"경기,인천",316,316,38.00%,36.00%,3.00%,15.00%,8.00%,0.00%,,
"대전,세종,충남북",98,98,36.00%,44.00%,3.00%,10.00%,6.00%,1.00%,,
"광주,전남북",100,100,69.00%,6.00%,4.00%,8.00%,10.00%,3.00%,,
"대구,경북",98,98,20.00%,53.00%,1.00%,11.00%,11.00%,4.00%,,
"부산,울산,경남",148,148,30.00%,34.00%,3.00%,13.00%,17.00%,3.00%,,
,,,,,,,,,,
