"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,196,189,34.8%,45.8%,3.3%,10.9%,1.6%,1.5%,2.2%,
"경기,인천",319,316,46.5%,41.4%,3.9%,4.9%,1.0%,1.7%,0.6%,
"강원,제주",45,44,37.2%,57.6%,2.6%,1.1%,1.5%,0.0%,0.0%,
"대전,세종,충남북",107,107,33.2%,48.8%,2.1%,9.6%,3.0%,2.6%,0.7%,
"부산,울산,경남",146,151,33.1%,44.1%,4.9%,12.8%,1.8%,1.7%,1.6%,
"대구,경북",97,98,35.4%,45.4%,6.4%,2.0%,8.3%,2.5%,0.0%,
"광주,전남북",93,98,59.6%,29.7%,4.5%,1.2%,4.6%,0.0%,0.4%,
