"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름
서울,203,190,39.2%,38.5%,5.0%,5.3%,2.6%,1.4%,8.0%,0.0%
"경기,인천",313,315,48.8%,31.7%,1.9%,6.4%,4.5%,2.1%,4.3%,0.3%
"대전,세종,충남북",106,106,40.0%,42.6%,1.3%,7.5%,2.1%,0.8%,3.6%,2.1%
"대구,경북",99,98,19.9%,62.3%,0.0%,9.6%,5.0%,0.0%,3.2%,0.0%
"부산,울산,경남",134,150,30.8%,45.6%,0.8%,7.0%,6.5%,2.2%,5.6%,1.6%
"광주,전남북",105,98,61.1%,19.8%,1.0%,7.7%,3.5%,2.9%,3.1%,1.0%
"강원,제주",41,44,43.1%,48.5%,3.1%,2.5%,0.0%,0.0%,2.8%,0.0%
