"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,205,192,36.1%,31.4%,4.0%,11.1%,0.9%,3.6%,6.3%,6.5%
"경기,인천",307,317,49.4%,24.2%,3.3%,6.6%,0.9%,3.2%,5.2%,7.2%
"대전,세종,충남북",105,109,31.6%,35.3%,7.1%,7.3%,0.0%,3.7%,3.2%,11.9%
"광주,전남북",102,99,72.6%,10.7%,0.8%,2.8%,0.0%,1.0%,6.2%,5.9%
"대구,경북",100,99,21.9%,49.9%,2.3%,6.5%,0.0%,4.3%,8.3%,6.9%
"부산,울산,경남",152,152,23.3%,35.3%,8.1%,14.9%,0.5%,4.7%,6.8%,6.4%
"강원,제주",41,44,33.1%,38.8%,5.3%,12.2%,1.6%,0.0%,2.3%,6.8%
