"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
"나주시,담양군,영광군,장성군,함평군,화순군",195,195,68.10%,5.60%,4%,2%,1%,2.70%,8.20%,8.40%
"고흥군,곡성군,광양시,구례군,보성군,순천시,여수시",468,468,63.20%,8.50%,4.40%,2.40%,0.40%,1.70%,11.80%,7.50%
"강진군,목포시,무안군,신안군,영암군,완도군,장흥군,진도군,해남군",337,337,65.80%,5.10%,5.70%,1.60%,0.90%,1.20%,12.10%,7.70%
