"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,778,757,41.5%,47.2%,2.7%,6.5%,1.0%,0.4%,0.6%,
"경기,인천",1263,1268,44.6%,45.1%,1.9%,6.3%,0.9%,0.6%,0.6%,
"대전,세종,충남북",423,426,41.9%,48.5%,2.2%,5.7%,1.4%,0.2%,0.0%,
"광주,전남북",390,393,66.7%,24.8%,1.8%,4.4%,1.3%,0.8%,0.3%,
"대구,경북",399,391,26.1%,60.7%,2.5%,7.6%,1.5%,0.8%,0.8%,
"부산,울산,경남",593,606,34.3%,53.5%,1.6%,7.1%,1.7%,1.2%,0.7%,
"강원,제주",168,173,43.6%,42.6%,3.0%,7.7%,1.8%,1.2%,0.0%,
