"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,"	기타",없음,모름
서울,197,190,37%,44%,8%,5%,1%,1%,2%,2%
"경기,인천",312,314,42%,41%,4%,5%,1%,2%,4%,1%
"대전,세종,충남북",97,106,41%,40%,3%,3%,3%,3%,6%,1%
"광주,전남북",95,98,59%,20%,4%,3%,1%,3%,8%,3%
"대구,경북",92,98,23%,56%,7%,6%,1%,0%,7%,1%
"부산,울산,경남",170,150,32%,55%,4%,1%,1%,2%,4%,1%
"강원,제주",37,44,29%,46%,2%,2%,3%,5%,8%,6%
