"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,231,190,36.8%,38.0%,5.4%,8.6%,3.0%,3.3%,3.8%,1.1%
"경기,인천",316,315,46.6%,37.5%,0.9%,5.4%,1.2%,1.1%,5.4%,1.9%
"대전,세종,충남북",88,108,39.0%,41.4%,0.7%,12.4%,0.0%,2.6%,0.8%,3.1%
"대구,경북",90,98,33.9%,46.5%,0.0%,8.0%,8.3%,1.5%,1.8%,0.0%
"부산,울산,경남",139,152,32.3%,42.2%,1.4%,10.1%,2.7%,3.0%,5.0%,3.3%
"광주,전남북",103,99,77.2%,13.6%,2.6%,3.9%,0.5%,0.0%,1.6%,0.6%
"강원,제주",39,44,32.7%,55.1%,4.5%,7.6%,0.0%,0.0%,0.0%,0.0%
