"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,220,190,38.4%,36.3%,5.7%,9.9%,3.1%,5.6%,1.1%
"경기,인천",312,315,43.5%,34.3%,3.0%,8.9%,2.4%,5.3%,2.7%
"대전,세종,충남북",97,108,39.9%,36.5%,1.9%,9.9%,3.5%,6.8%,1.5%
"광주,전남북",105,99,66.1%,16.6%,3.1%,2.5%,1.7%,9.2%,0.8%
"대구,경북",92,99,23.9%,42.8%,6.0%,15.5%,4.9%,5.7%,1.3%
"부산,울산,경남",136,151,33.0%,41.3%,4.8%,11.8%,2.2%,5.9%,1.1%
"강원,제주",44,44,40.2%,37.3%,4.5%,10.9%,0.0%,4.5%,2.7%
,,,,,,,,,
