"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,194,190,36.2%,35.3%,6.6%,8.4%,2.0%,8.8%,2.6%,
"경기,인천",327,319,42.1%,26.8%,6.3%,12.8%,2.4%,8.0%,1.6%,
"대전,세종,충남북",104,107,32.7%,29.4%,1.6%,12.6%,4.7%,11.0%,7.9%,
"광주,전남북",99,101,67.7%,7.0%,9.2%,3.0%,2.5%,6.6%,4.0%,
"대구,경북",95,97,24.5%,45.5%,6.2%,8.8%,2.3%,7.3%,5.4%,
"부산,울산,경남",148,153,31.4%,37.2%,4.0%,10.8%,1.3%,12.8%,2.5%,
"강원,제주",43,43,44.8%,24.6%,4.7%,8.1%,0.0%,15.5%,2.3%,
