"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,194,189,27.5%,33.9%,1.1%,19.2%,0.5%,14.3%,3.6%,
"경기,인천",317,315,33.0%,31.2%,3.9%,13.3%,0.9%,14.3%,3.3%,
"대전,세종,충남북",113,108,33.4%,32.4%,3.9%,10.6%,0.0%,18.1%,1.7%,
"광주,전남북",97,98,67.4%,9.1%,1.0%,5.1%,0.0%,15.0%,2.4%,
"대구,경북",95,98,23.8%,43.2%,0.9%,9.4%,2.1%,16.4%,4.2%,
"부산,울산,경남",145,152,24.2%,34.0%,3.1%,13.4%,1.4%,17.6%,6.2%,
"강원,제주",43,44,28.3%,37.4%,4.5%,6.6%,4.5%,14.1%,4.5%,
