"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,213,189,31.9%,49.3%,2.7%,10.3%,0.0%,1.5%,2.2%,2.0%
"경기,인천",318,315,37.8%,41.0%,3.2%,11.1%,0.7%,1.3%,3.9%,0.9%
"대전,세종,충남북",85,106,40.6%,36.0%,3.9%,14.8%,0.0%,0.8%,3.3%,0.6%
"부산,울산,경남",137,150,35.2%,46.4%,1.0%,7.5%,0.4%,1.1%,4.4%,3.9%
"대구,경북",96,98,20.5%,68.3%,0.0%,5.9%,0.0%,1.1%,4.2%,0.0%
"광주,전남북",95,98,65.4%,16.4%,0.0%,8.0%,2.1%,0.6%,7.6%,0.0%
"강원,제주",56,44,36.0%,55.9%,0.0%,7.1%,0.0%,0.0%,0.9%,0.0%
,,,,,,,,,,
