"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",허경영,기타,없음,모름
서울,195,189,35.8%,48.0%,3.3%,9.5%,0.5%,1.0%,1.1%,1.0%
"경기,인천",323,316,43.7%,42.1%,3.9%,5.9%,1.5%,0.6%,1.9%,0.4%
"대전,세종,충남북",109,108,38.5%,40.2%,2.9%,12.1%,1.7%,0.0%,4.6%,0.0%
"광주,전남북",97,98,58.7%,27.8%,4.0%,5.4%,3.1%,0.0%,0.0%,1.0%
"대구,경북",103,99,30.5%,55.2%,1.9%,6.4%,2.1%,0.9%,3.1%,0.0%
"부산,울산,경남",138,151,37.7%,50.8%,1.8%,5.9%,2.2%,0.0%,0.8%,0.8%
"강원,제주",40,44,44.4%,31.7%,3.2%,10.4%,7.5%,0.0%,2.7%,0.0%
