"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,217,192,33.7%,51.7%,2.5%,9.9%,0.5%,0.9%,0.0%,0.9%
"경기,인천",296,319,46.3%,40.0%,2.2%,7.5%,0.3%,1.0%,1.3%,1.4%
"대전,세종,충남북",104,108,51.7%,39.1%,3.2%,6.0%,0.0%,0.0%,0.0%,0.0%
"광주,전남북",101,99,66.1%,19.9%,4.1%,3.8%,0.9%,1.7%,2.7%,0.9%
"대구,경북",104,98,27.6%,55.4%,1.7%,9.1%,1.3%,2.8%,0.0%,2.1%
"부산,울산,경남",150,152,31.3%,57.6%,2.6%,5.2%,0.6%,0.6%,0.7%,1.5%
"강원,제주",41,45,40.5%,54.9%,2.0%,2.6%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
