"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,203,190,37.6%,30.4%,1.6%,10.6%,0.5%,11.3%,8.0%,
"경기,인천",327,315,40.4%,20.7%,4.1%,12.6%,3.1%,11.2%,8.0%,
"대전,세종,충남북",99,108,40.8%,26.9%,3.7%,12.1%,0.9%,6.2%,9.4%,
"광주,전남북",98,99,61.5%,6.6%,7.0%,7.3%,1.0%,10.4%,6.2%,
"대구,경북",99,98,16.5%,44.2%,2.1%,17.1%,1.0%,12.3%,6.7%,
"부산,울산,경남",139,152,30.7%,27.4%,0.0%,12.4%,1.8%,17.4%,10.2%,
"강원,제주",41,44,35.7%,20.5%,2.3%,11.0%,2.3%,10.9%,17.4%,
