"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,187,187,33%,39%,6%,5%,2%,8%,7%
"경기,인천",315,314,41%,35%,3%,3%,2%,10%,5%
"대전,세종,충남북",109,108,33%,38%,2%,4%,2%,15%,5%
"광주,전남북",99,99,63%,11%,4%,3%,1%,6%,12%
"대구,경북",100,97,18%,55%,3%,0%,2%,16%,6%
"부산,울산,경남",151,152,35%,37%,1%,4%,3%,12%,8%
"강원,제주",43,43,40%,33%,7%,2%,5%,2%,12%
