"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,230,190,32.10%,43.90%,3.60%,6.00%,4.40%,8.60%,1.40%
"경기,인천",310,315,44.20%,36.50%,3.70%,5.80%,3.90%,4.30%,1.60%
"대전,세종,충남북",86,106,46.50%,38.00%,4.60%,5.20%,2.70%,2.90%,0.00%
강원,32,31,18.40%,65.90%,0.00%,10.80%,0.00%,0.00%,4.90%
"부산,울산,경남",133,150,36.00%,42.00%,6.00%,7.10%,4.60%,3.40%,1.00%
"대구,경북",97,98,35.60%,55.70%,0.70%,1.20%,1.20%,1.60%,3.90%
"광주,전남북",97,98,64.40%,20.40%,2.90%,5.40%,0.00%,3.50%,3.50%
제주,15,12,30.70%,35.10%,6.70%,6.70%,6.10%,6.10%,8.60%
