"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
서울,191,189,29.00%,40.00%,4.00%,12.00%,0.00%,13.00%,2.00%,
"경기,인천",323,320,28.00%,40.00%,2.00%,9.00%,1.00%,14.00%,6.00%,
"대전,세종,충남북",107,108,34.00%,38.00%,2.00%,5.00%,4.00%,16.00%,2.00%,
"광주,전남북",99,101,58.00%,11.00%,1.00%,7.00%,3.00%,14.00%,5.00%,
"대구,경북",99,98,15.00%,60.00%,1.00%,4.00%,2.00%,12.00%,5.00%,
"부산,울산,경남",151,153,25.00%,49.00%,2.00%,7.00%,1.00%,13.00%,4.00%,
"강원,제주",42,43,41.00%,35.00%,0.00%,7.00%,2.00%,13.00%,2.00%,
