"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,219,188,37%,40%,4%,15%,0%,2%,2%,2%
"경기,인천",286,316,36%,45%,4%,9%,0%,2%,3%,1%
"대전,세종,충남북",102,107,35%,39%,3%,10%,1%,3%,7%,2%
"광주,전남북",92,97,55%,26%,3%,6%,1%,4%,5%,1%
"대구,경북",98,98,31%,50%,1%,8%,0%,2%,6%,1%
"부산,울산,경남",158,150,28%,51%,3%,13%,1%,1%,3%,0%
"강원,제주",45,44,28%,50%,7%,8%,0%,2%,4%,2%
