"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름
서울,193,188,34.8%,46.8%,3.4%,10.4%,0.0%,1.2%,2.0%,1.4%
"경기,인천",336,316,39.1%,45.0%,2.4%,6.2%,0.3%,2.3%,2.3%,2.5%
"대전,세종,충남북",116,106,38.1%,49.8%,1.0%,5.4%,0.9%,3.2%,0.0%,1.6%
"광주,전남북",98,98,62.8%,18.2%,6.7%,5.6%,2.3%,0.9%,3.4%,0.0%
"대구,경북",97,98,27.0%,54.6%,3.8%,7.4%,2.0%,2.9%,2.2%,0.0%
"부산,울산,경남",119,150,31.5%,55.6%,1.7%,7.2%,0.0%,0.7%,1.8%,1.5%
"강원,제주",41,44,37.6%,50.2%,2.2%,4.7%,0.0%,2.2%,3.1%,0.0%
