"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,허경영,기타,없음,모름
서울,211,190,30.6%,52.4%,4.2%,9.1%,0.3%,1.7%,0.0%,1.1%,0.5%
"경기,인천",315,315,40.9%,43.7%,1.9%,8.6%,0.2%,2.2%,0.9%,1.3%,0.3%
"대전,세종,충남북",102,105,33.4%,52.8%,0.0%,5.9%,1.1%,0.0%,2.8%,4.0%,0.0%
"광주,전남북",92,98,54.1%,22.6%,0.0%,12.7%,0.0%,0.0%,1.1%,5.5%,4.0%
"대구,경북",96,98,24.6%,60.7%,2.6%,2.0%,1.1%,3.1%,1.0%,0.8%,4.1%
"부산,울산,경남",143,150,34.2%,52.5%,0.9%,6.9%,0.0%,2.3%,1.2%,2.0%,0.0%
"강원,제주",41,44,35.2%,48.9%,0.0%,4.8%,2.7%,3.2%,0.0%,5.2%,0.0%
