"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,없음,모름,,,
서울,216,193,27.8%,48.1%,5.4%,10.9%,0.4%,1.3%,2.8%,3.3%,,,
"경기,인천",308,321,36.0%,45.9%,4.7%,10.6%,0.0%,0.6%,1.3%,0.9%,,,
"대전,세종,충남북",91,109,36.6%,46.5%,3.4%,5.7%,0.0%,5.5%,1.1%,1.2%,,,
강원,44,31,32.6%,53.2%,5.2%,6.6%,0.0%,0.0%,0.0%,2.3%,,,
"부산,울산,경남",140,152,36.4%,43.4%,2.8%,8.8%,0.7%,3.6%,1.4%,2.9%,,,
"대구,경북",98,101,22.1%,58.7%,2.1%,10.2%,0.0%,3.9%,2.0%,1.0%,,,
"광주,전남북",104,99,58.8%,21.3%,3.0%,9.2%,1.0%,0.0%,2.8%,3.9%,,,
제주,17,12,58.1%,11.9%,0.0%,29.9%,0.0%,0.0%,0.0%,0.0%,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
