"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,"없음,모름",
서울,185,189,27.5%,32.0%,4.8%,7.0%,7.7%,21.0%,
"경기,인천",315,314,36.8%,34.7%,5.8%,4.7%,3.2%,14.9%,
"대전,세종,충남북",108,107,27.7%,38.7%,5.5%,3.7%,4.5%,19.9%,
"광주,전남북",99,98,56.7%,12.6%,5.9%,3.0%,3.3%,18.6%,
"대구,경북",97,98,22.2%,40.7%,0.0%,4.7%,4.6%,27.8%,
"부산,울산,경남",153,150,35.2%,40.4%,3.2%,5.0%,3.0%,13.1%,
"강원,제주",43,44,22.6%,41.3%,10.2%,1.0%,9.1%,15.8%,
