"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",김동연,기타,"없음,모름",
청주상당,119,118,37.7%,33.7%,4.2%,10.0%,2.5%,1.7%,10.2%,
청주서원,123,122,36.6%,35.0%,7.2%,8.2%,2.5%,3.3%,7.2%,
청주흥덕,166,165,40.9%,31.4%,6.0%,8.5%,0.6%,3.0%,9.6%,
청주청원,118,117,38.2%,31.5%,10.9%,6.0%,0.0%,4.2%,9.3%,
충주,132,132,37.9%,37.1%,4.5%,8.3%,0.0%,2.3%,9.8%,
"제천,단양",102,103,34.8%,35.9%,1.9%,14.6%,1.9%,2.1%,8.7%,
"보은,옥천,영동,괴산",109,110,29.7%,42.7%,3.6%,7.0%,2.7%,3.6%,10.6%,
"증평,진천,음성",131,133,39.4%,30.2%,5.3%,8.7%,2.2%,6.7%,7.5%,
