"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
서울,194,190,37.1%,28.4%,4.3%,5.0%,4.1%,20.2%,1.0%
"경기,인천",312,315,35.6%,23.4%,2.4%,9.8%,2.4%,23.0%,3.4%
"대전,세종,충남북",111,107,32.0%,28.3%,3.1%,11.0%,3.0%,22.6%,0.0%
"광주,전남북",103,98,66.4%,5.0%,0.9%,3.6%,1.5%,19.6%,3.0%
"대구,경북",92,98,16.8%,38.9%,2.4%,8.0%,2.1%,29.8%,1.9%
"부산,울산,경남",150,151,27.3%,30.7%,1.4%,6.0%,1.9%,28.2%,4.5%
"강원,제주",41,44,23.3%,29.7%,2.3%,12.8%,0.0%,24.8%,7.1%
