"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름,
동구,156,157,39.9%,42.5%,2.5%,10.5%,0.6%,1.5%,2.6%,
중구,139,166,39.7%,50.5%,1.6%,6.9%,0.0%,1.3%,0.0%,
서구,305,326,35.0%,46.8%,2.0%,12.9%,1.7%,0.3%,1.2%,
유성구,274,237,37.1%,46.3%,2.3%,9.2%,0.7%,2.3%,2.1%,
대덕구,136,124,40.8%,49.3%,1.0%,5.5%,2.0%,0.7%,0.7%,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
