"			","			조사완료",가중치적용,"	이재명","	윤석열","	심상정","	안철수",기타,없음,모름
동구,97,76,75.3%,9.4%,5.0%,7.1%,1.8%,0.0%,1.5%
서구,231,207,64.4%,18.3%,1.5%,9.2%,2.6%,2.6%,1.5%
남구,169,152,74.3%,17.3%,1.8%,4.1%,0.5%,1.9%,0.0%
북구,312,308,72.5%,16.5%,2.0%,3.6%,1.0%,2.2%,2.2%
광산구,211,277,66.8%,18.2%,2.9%,6.7%,3.2%,2.1%,0.0%
,,,,,,,,,
,,,,,,,,,
