"lee","yoon","sim","ahn","sample_size","date"
0.426463777704267,0.476303892380637,0.0535891498511413,0.0436431800639541,250,2021-11-27
0.426463777704267,0.476303892380637,0.0535891498511413,0.0436431800639541,250,2021-11-28
0.426463777704267,0.476303892380637,0.0535891498511413,0.0436431800639541,250,2021-11-29
0.426463777704267,0.476303892380637,0.0535891498511413,0.0436431800639541,250,2021-11-30
0.405180865671683,0.492161496540881,0.0584323546208935,0.0442252831665424,500,2021-11-29
0.405180865671683,0.492161496540881,0.0584323546208935,0.0442252831665424,500,2021-11-30
0.425211901764285,0.486597431010491,0.0383068523982215,0.0498838148270026,500,2021-11-30
0.425211901764285,0.486597431010491,0.0383068523982215,0.0498838148270026,500,2021-12-01
0.438044638093544,0.42701479044401,0.0609130159859308,0.0740275554765151,333.333333333333,2021-11-27
0.438044638093544,0.42701479044401,0.0609130159859308,0.0740275554765151,333.333333333333,2021-11-28
0.438044638093544,0.42701479044401,0.0609130159859308,0.0740275554765151,333.333333333333,2021-11-29
0.435947746846111,0.443322183886855,0.0558350233084885,0.0648950459585451,333.333333333333,2021-11-29
0.435947746846111,0.443322183886855,0.0558350233084885,0.0648950459585451,333.333333333333,2021-11-30
0.435947746846111,0.443322183886855,0.0558350233084885,0.0648950459585451,333.333333333333,2021-12-01
0.427730663414357,0.497979124712823,0.0264214671318225,0.0478687447409971,1000,2021-12-01
0.433060162349012,0.440012428632462,0.059709221786357,0.0672181872321694,319,2021-11-30
0.433060162349012,0.440012428632462,0.059709221786357,0.0672181872321694,319,2021-12-01
0.433060162349012,0.440012428632462,0.059709221786357,0.0672181872321694,319,2021-12-02
0.423486282464232,0.496876115269765,0.0364385455301117,0.0431990567358906,600,2021-11-29
0.423486282464232,0.496876115269765,0.0364385455301117,0.0431990567358906,600,2021-11-30
0.423486282464232,0.496876115269765,0.0364385455301117,0.0431990567358906,600,2021-12-01
0.423486282464232,0.496876115269765,0.0364385455301117,0.0431990567358906,600,2021-12-02
0.423486282464232,0.496876115269765,0.0364385455301117,0.0431990567358906,600,2021-12-03
0.437756179003444,0.485426513872903,0.0334437281920871,0.0433735789315658,500,2021-12-03
0.437756179003444,0.485426513872903,0.0334437281920871,0.0433735789315658,500,2021-12-04
0.438847512142672,0.477123577175485,0.0472254921953209,0.0368034184865226,500,2021-12-03
0.438847512142672,0.477123577175485,0.0472254921953209,0.0368034184865226,500,2021-12-04
0.412749772337987,0.510486444636446,0.0352914015468191,0.0414723814787479,500,2021-12-03
0.412749772337987,0.510486444636446,0.0352914015468191,0.0414723814787479,500,2021-12-04
0.455167095778454,0.455679217356351,0.0452952199251623,0.0438584669400326,500,2021-12-04
0.455167095778454,0.455679217356351,0.0452952199251623,0.0438584669400326,500,2021-12-05
0.415239702449734,0.502796280731825,0.037688378553733,0.0442756382647087,1000,2021-12-04
0.434216630796144,0.47940104148986,0.0505004899664379,0.0358818377475575,500,2021-12-04
0.434216630796144,0.47940104148986,0.0505004899664379,0.0358818377475575,500,2021-12-05
0.436673058430455,0.486272156815327,0.03291625268494,0.0441385320692774,333.333333333333,2021-12-04
0.436673058430455,0.486272156815327,0.03291625268494,0.0441385320692774,333.333333333333,2021-12-05
0.436673058430455,0.486272156815327,0.03291625268494,0.0441385320692774,333.333333333333,2021-12-06
0.417194503009679,0.509602200953926,0.0453171288699882,0.0278861671664067,500,2021-12-06
0.417194503009679,0.509602200953926,0.0453171288699882,0.0278861671664067,500,2021-12-07
0.439322230547968,0.440210533948901,0.0424609025645984,0.0780063329385318,500,2021-12-06
0.439322230547968,0.440210533948901,0.0424609025645984,0.0780063329385318,500,2021-12-07
0.429338299120367,0.492352605405698,0.0428287873039176,0.0354803081700182,500,2021-12-07
0.429338299120367,0.492352605405698,0.0428287873039176,0.0354803081700182,500,2021-12-08
0.419127246358615,0.490630216734291,0.0447907284819119,0.045451808425182,500,2021-12-06
0.419127246358615,0.490630216734291,0.0447907284819119,0.045451808425182,500,2021-12-07
0.469191831035085,0.447023913422936,0.0426402014811859,0.0411440540607935,333.333333333333,2021-12-06
0.469191831035085,0.447023913422936,0.0426402014811859,0.0411440540607935,333.333333333333,2021-12-07
0.469191831035085,0.447023913422936,0.0426402014811859,0.0411440540607935,333.333333333333,2021-12-08
0.443756951550474,0.510542999510611,0.0275381501090003,0.018161898829915,1000,2021-12-07
0.414311854445349,0.50432436270681,0.04585452181845,0.0355092610293917,257.25,2021-12-05
0.414311854445349,0.50432436270681,0.04585452181845,0.0355092610293917,257.25,2021-12-06
0.414311854445349,0.50432436270681,0.04585452181845,0.0355092610293917,257.25,2021-12-07
0.414311854445349,0.50432436270681,0.04585452181845,0.0355092610293917,257.25,2021-12-08
0.434499628803126,0.494859087534574,0.0359436831927749,0.0346976004695257,500,2021-12-05
0.434499628803126,0.494859087534574,0.0359436831927749,0.0346976004695257,500,2021-12-06
0.434499628803126,0.494859087534574,0.0359436831927749,0.0346976004695257,500,2021-12-07
0.434499628803126,0.494859087534574,0.0359436831927749,0.0346976004695257,500,2021-12-08
0.434499628803126,0.494859087534574,0.0359436831927749,0.0346976004695257,500,2021-12-09
0.434499628803126,0.494859087534574,0.0359436831927749,0.0346976004695257,500,2021-12-10
0.411003122812744,0.524874611017581,0.0353871312950527,0.028735134874622,500,2021-12-10
0.411003122812744,0.524874611017581,0.0353871312950527,0.028735134874622,500,2021-12-11
0.460991151086003,0.476926695360115,0.030178114504129,0.031904039049753,500,2021-12-10
0.460991151086003,0.476926695360115,0.030178114504129,0.031904039049753,500,2021-12-11
