"reg_num","house","subregion","start","end","method1","method2","method3","method1_ratio","method2_ratio","method3_ratio","survey_q","resp_rate","url","sample_size","lee","yoon","sim","ahn","etc"
8424,"칸타코리아(칸타 퍼블릭)","GJJ",2021-11-29,2021-11-30,"corded interview","cordless interview","0",0.15,0.85,0,"appropriate",0.121,"https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=9344&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=29",44,0.488484848484848,0.478787878787879,0.0327272727272727,0,17.5
8426,"(주)알앤서치","SEO",2021-11-30,2021-12-01,"cordless ARS","0","0",1,0,0,"support",0.063,"https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=9350&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=28",192,0.408942202835333,0.489640130861505,0.044711014176663,0.0567066521264995,8.3
8426,"(주)알앤서치","SDG",2021-11-30,2021-12-01,"cordless ARS","0","0",1,0,0,"support",0.063,"https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=9350&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=28",311,0.43530701754386,0.476973684210526,0.0471491228070175,0.0405701754385965,8.8
8426,"(주)알앤서치","CCG",2021-11-30,2021-12-01,"cordless ARS","0","0",1,0,0,"support",0.063,"https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=9350&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=28",111,0.391937290033595,0.516237402015677,0.0313549832026876,0.0604703247480403,10.7
8426,"(주)알앤서치","GJJ",2021-11-30,2021-12-01,"cordless ARS","0","0",1,0,0,"support",0.063,"https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=9350&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=28",53,0.328638497652582,0.595070422535211,0.0434272300469484,0.0328638497652582,14.8
8426,"(주)알앤서치","BUG",2021-11-30,2021-12-01,"cordless ARS","0","0",1,0,0,"support",0.063,"https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=9350&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=28",152,0.40893470790378,0.520045819014891,0.0389461626575029,0.0320733104238259,12.7
8426,"(주)알앤서치","DGG",2021-11-30,2021-12-01,"cordless ARS","0","0",1,0,0,"support",0.063,"https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=9350&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=28",97,0.217194570135747,0.653846153846154,0.0260180995475113,0.102941176470588,11.6
8426,"(주)알앤서치","HNG",2021-11-30,2021-12-01,"cordless ARS","0","0",1,0,0,"support",0.063,"https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=9350&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=28",99,0.760097919216646,0.193390452876377,0.011015911872705,0.0354957160342717,18.3
8427,"(주)리서치앤리서치","SEO",2021-11-27,2021-11-29,"corded interview","cordless interview","0",0.17,0.83,0,"vote",0.103,"https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=9349&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=28",202,0.366060606060606,0.465454545454545,0.0521212121212121,0.116363636363636,17.5
8427,"(주)리서치앤리서치","SDG",2021-11-27,2021-11-29,"corded interview","cordless interview","0",0.17,0.83,0,"vote",0.103,"https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=9349&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=28",300,0.466346153846154,0.413461538461538,0.0540865384615385,0.0661057692307692,16.8
8427,"(주)리서치앤리서치","CCG",2021-11-27,2021-11-29,"corded interview","cordless interview","0",0.17,0.83,0,"vote",0.103,"https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=9349&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=28",107,0.453125,0.364583333333333,0.109375,0.0729166666666667,23.2
8427,"(주)리서치앤리서치","HNG",2021-11-27,2021-11-29,"corded interview","cordless interview","0",0.17,0.83,0,"vote",0.103,"https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=9349&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=28",100,0.642767295597484,0.130817610062893,0.118238993710692,0.108176100628931,20.5
8427,"(주)리서치앤리서치","DGG",2021-11-27,2021-11-29,"corded interview","cordless interview","0",0.17,0.83,0,"vote",0.103,"https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=9349&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=28",105,0.251262626262626,0.621212121212121,0.0707070707070707,0.0568181818181818,20.8
8427,"(주)리서치앤리서치","BUG",2021-11-27,2021-11-29,"corded interview","cordless interview","0",0.17,0.83,0,"vote",0.103,"https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=9349&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=28",148,0.442767295597484,0.50062893081761,0.0226415094339623,0.0339622641509434,20.5
8427,"(주)리서치앤리서치","GJJ",2021-11-27,2021-11-29,"corded interview","cordless interview","0",0.17,0.83,0,"vote",0.103,"https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=9349&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=28",46,0.449814126394052,0.48451053283767,0.0198265179677819,0.0458488228004957,19.3
8428,"(주)엠브레인퍼블릭","SEO",2021-11-29,2021-12-01,"cordless interview","0","0",1,0,0,"vote",0.29,"https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=9351&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=28",191,0.413333333333333,0.44,0.0533333333333333,0.0933333333333333,25
8428,"(주)엠브레인퍼블릭","SDG",2021-11-29,2021-12-01,"cordless interview","0","0",1,0,0,"vote",0.29,"https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=9351&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=28",321,0.454545454545455,0.415584415584416,0.0649350649350649,0.0649350649350649,23
8428,"(주)엠브레인퍼블릭","CCG",2021-11-29,2021-12-01,"cordless interview","0","0",1,0,0,"vote",0.29,"https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=9351&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=28",108,0.417721518987342,0.493670886075949,0.0632911392405063,0.0253164556962025,21
8428,"(주)엠브레인퍼블릭","HNG",2021-11-29,2021-12-01,"cordless interview","0","0",1,0,0,"vote",0.29,"https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=9351&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=28",102,0.79746835443038,0.10126582278481,0.0379746835443038,0.0632911392405063,21
8428,"(주)엠브레인퍼블릭","DGG",2021-11-29,2021-12-01,"cordless interview","0","0",1,0,0,"vote",0.29,"https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=9351&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=28",99,0.219178082191781,0.657534246575342,0.0547945205479452,0.0684931506849315,27
